School Name,% of Students receiving Federal Loan,Title 4 Cost Private,No.of programs offered,Tuition FT Enrollment in $,Enrollment,Highest degree awarded,SAT Writing Midpoint,SAT Math Midpoint,SAT Critical Reading Midpoint,SAT Average Overall,ACT Writing Midpoint, ACT Math Midpoint,ACT English Midpoint,ACT Cumulative Midpoint,Retention Rate FT,Completion Rate 4 year (White),Completion Rate 4 year (2 Or More Races),Completion Rate 4 year (Hawaian/Pacific Islander),Completion Rate 4 year (Hispanic),Completion Rate 4 year (Black),Completion Rate 4 year (Asian),Completion Rate 4 year (American Indian),General Completion Rate,id,Latitude,Longitutde
Alabama A & M University,65.52,0.0,0.0,9243.0,0,4,414.0,460.0,475.0,954.0,0.0,17.0,17.0,18.0,57.97,30.43,32.14,0.0,22.220000000000002,28.050000000000004,0.0,0.0,28.33,100654,34.783368,-86.568502
University of Alabama at Birmingham,44.01,0.0,0.0,11678.0,0,4,0.0,644.0,637.0,1266.0,0.0,25.0,28.0,27.0,83.91999999999999,62.760000000000005,50.0,0.0,57.69,55.65,83.54,60.0,61.809999999999995,100663,33.505697,-86.799345
Amridge University,84.23,0.0,0.0,14093.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,28.57,0.0,0.0,38.46,100690,32.362609,-86.17401
University of Alabama in Huntsville,35.78,0.0,0.0,8246.0,0,4,0.0,655.0,640.0,1300.0,0.0,26.0,28.0,28.0,78.99000000000001,60.980000000000004,60.0,0.0,64.44,48.449999999999996,81.25,66.67,59.25,100706,34.724557,-86.640449
Alabama State University,76.37,0.0,0.0,8535.0,0,4,0.0,457.0,488.0,955.0,0.0,17.0,17.0,18.0,64.36,36.36,6.25,0.0,42.86,28.439999999999998,33.33,0.0,30.15,100724,32.364317,-86.295677
The University of Alabama,34.54,0.0,0.0,13731.0,0,4,540.0,610.0,610.0,1244.0,8.0,24.0,27.0,26.0,88.55,74.68,66.49000000000001,62.5,66.10000000000001,56.63,79.12,62.07,72.19,100751,33.211875,-87.545978
Central Alabama Community College,14.879999999999999,0.0,0.0,1731.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100760,32.92478,-85.945266
Athens State University,45.5,0.0,0.0,6761.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100812,34.806793,-86.964698
Auburn University at Montgomery,51.38,0.0,0.0,7879.0,0,4,0.0,518.0,538.0,1069.0,0.0,19.0,20.0,21.0,63.029999999999994,38.89,22.73,0.0,25.0,32.87,22.220000000000002,40.0,33.07,100830,32.36736,-86.177544
Auburn University,28.689999999999998,0.0,0.0,17273.0,0,4,570.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,92.89,82.06,67.65,100.0,76.47,68.97999999999999,83.21,79.17,79.82000000000001,100858,32.599378,-85.488258
