School Name,City,Carnegie Classification Undergraduate Profile,Carnegie Size Setting,Public Average Net Price,Private Average Net Price,"Avg $75,001-$110,000 (Public)","Avg $75,000+ (Public)","Avg $48,001-$75,000 (Public)","Avg $48,001-$75,000 (All)","Avg $30,001-$75,000 (Public)","Avg $30,001-$75,000 (All)","Avg $30,001-$48,000 (Public)","Avg $30,001-$48,000 (All)","Avg $110,000+ (Public)","Avg $110,000+ (All)","Avg $0-$48,000 (Public)","Avg $0-$48,000 (Private)","Avg $0-$30,000 (Public)","Avg $0-$30,000 (Private)"
Alabama A & M University,Normal,10,14,13057.0,0.0,16707.0,17399.0,15508.0,0.0,13424.0,0.0,12300.0,0.0,18857.0,0,12210.0,0.0,12177.0,0.0
University of Alabama at Birmingham,Birmingham,9,15,16585.0,0.0,18230.0,19441.0,16847.0,0.0,16038.0,0.0,15370.0,0.0,20054.0,0,14431.0,0.0,13862.0,0.0
Amridge University,Montgomery,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
University of Alabama in Huntsville,Huntsville,15,13,17250.0,0.0,19206.0,19333.0,18572.0,0.0,16919.0,0.0,14646.0,0.0,19423.0,0,14651.0,0.0,14654.0,0.0
Alabama State University,Montgomery,10,14,13593.0,0.0,20568.0,21072.0,13992.0,0.0,14127.0,0.0,14170.0,0.0,21938.0,0,13180.0,0.0,12877.0,0.0
The University of Alabama,Tuscaloosa,12,16,21534.0,0.0,23830.0,24553.0,21957.0,0.0,21041.0,0.0,20121.0,0.0,24948.0,0,18883.0,0.0,18338.0,0.0
Central Alabama Community College,Alexander City,1,2,8628.0,0.0,12453.0,12623.0,9837.0,0.0,9227.0,0.0,8734.0,0.0,12845.0,0,7367.0,0.0,6837.0,0.0
Athens State University,Athens,5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Auburn University at Montgomery,Montgomery,7,13,13689.0,0.0,17249.0,16148.0,15661.0,0.0,14352.0,0.0,13773.0,0.0,15387.0,0,12912.0,0.0,12565.0,0.0
Auburn University,Auburn,14,15,23258.0,0.0,24989.0,26226.0,22379.0,0.0,20987.0,0.0,19313.0,0.0,26836.0,0,17844.0,0.0,16701.0,0.0
Birmingham-Southern College,Birmingham,12,11,0.0,21098.0,0.0,0.0,0.0,17602.0,0.0,17452.0,0.0,17302.0,0.0,0,0.0,17414.0,0.0,17500.0
Chattahoochee Valley Community College,Phenix City,2,2,3557.0,0.0,5658.0,5621.0,5617.0,0.0,3680.0,0.0,2435.0,0.0,5320.0,0,2939.0,0.0,3166.0,0.0
South University-Montgomery,Montgomery,7,6,0.0,18772.0,0.0,0.0,0.0,23107.0,0.0,23107.0,0.0,0.0,0.0,0,0.0,16604.0,0.0,16604.0
Enterprise State Community College,Enterprise,2,2,3214.0,0.0,8043.0,8388.0,4278.0,0.0,2856.0,0.0,2145.0,0.0,8663.0,0,2125.0,0.0,2119.0,0.0
Coastal Alabama Community College,Bay Minette,2,3,6043.0,0.0,11217.0,10638.0,7562.0,0.0,6196.0,0.0,5192.0,0.0,10112.0,0,4793.0,0.0,4659.0,0.0
Faulkner University,Montgomery,7,10,0.0,20371.0,0.0,0.0,0.0,19901.0,0.0,19714.0,0.0,19477.0,0.0,0,0.0,19162.0,0.0,19051.0
