School Name,"% IndepStudents, LowIncome $0-$30,000",% Independent Students,"% DepStudents, LowIncome $0-$30,000","% aided students family income $0-$30,000",% First Generation Students,"% First Gen, Parents w/College","% First Gen, Parents w/MiddleSchool","% First Gen, Parents w/HighSchool","% FirstGenStudents, Completed 2 Years","% FirstGenStudents, Completed 3 Years","% FirstGenStudents, Completed 4 Years","% FirstGenStudents, Completed 6 Years","% FirstGenStudents, Completed 8 Years",% Students W/Bachelors Degree at 25 Years Old,% Students Born Within the U.S.,% Population of White Students by ZIP Code,% Population of Hispanic Students by ZIP Code,% Population of Black Students by ZIP Code,% Population of Asian Students by ZIP Code,% Students W/Professional Deg at 25YrsbyZIP,% IndepStudents Completed 2 Years,% IndepStudents Completed 3 Years,% IndepStudents Completed 4 Years,% IndepStudents Completed 6 Years,% IndepStudents Completed 8 Years,% IndepStudents Withdrawn 2 Years,% IndepStudents Withdrawn 3 Years,% IndepStudents Withdrawn 4 Years,% IndepStudents Withdrawn 6 Years,% IndepStudents Withdrawn 8 Years,% DepStudents Completed 2 Years,% DepStudents Completed 3 Years,% DepStudents Completed 4 Years,% DepStudents Completed 6 Years,% DepStudents Completed 8 Years,% DepStudents Withdrawn 2 Years,% DepStudents Withdrawn 3 Years,% DepStudents Withdrawn 4 Years,% DepStudents Withdrawn 6 Years,% DepStudents Withdrawn 8 Years,% NonFirstGenStudents Completed 2 Years,% NonFirstGenStudents Completed 3 Years,% NonFirstGenStudents Completed 4 Years,% NonFirstGenStudents Completed 6 Years,% NonFirstGenStudents Completed 8 Years,% NonFirstGenStudents Withdrawn 2 Years,% NonFirstGenStudents Withdrawn 3 Years,% NonFirstGenStudents Withdrawn 4 Years,% NonFirstGenStudents Withdrawn 6 Years,% NonFirstGenStudents Withdrawn 8 Years,% FirstGenStudents Completed 2 Years,% FirstGenStudents Completed 3 Years,% FirstGenStudents Completed 4 Years,% FirstGenStudents Completed 6 Years,% FirstGenStudents Completed 8 Years,% FirstGenStudents Withdrawn 2 Years,% FirstGenStudents Withdrawn 3 Years,% FirstGenStudents Withdrawn 4 Years,% FirstGenStudents Withdrawn 6 Years,% FirstGenStudents Withdrawn 8 Years,id,Latitude,Longitutde
University of Alabama at Birmingham,59.42028986,32.14086082,34.870950029999996,42.76131917,34.1223671,65.87763290000001,2.22668004,31.89568706,3.2513181019,4.3030031376,6.741573033700001,8.605664488,9.7413318657,1593.00003051757,9650.0,6901.999664306641,202.999997138977,2776.00002288818,110.000002384185,855.000019073486,22.1406086044,28.897715988099996,39.527027027,47.5431606906,53.8853503185,22.3504721931,25.322740814299998,22.522522522499997,21.2483399734,18.5987261146,12.063632346399999,34.7402597403,48.3064963909,56.7205800335,54.5823665893,19.2222713213,20.2690166976,20.1554691838,15.7836029002,14.9071925754,14.7872340426,39.0557939914,51.463414634100005,60.5633802817,60.6936416185,16.914893617,16.8454935622,18.9024390244,14.2253521127,14.450867052,15.158172232,30.3003137606,42.7501337614,51.4705882353,51.953769950499996,21.4850615114,23.980277902300003,21.8298555377,18.627450980400003,16.6758392955,10066300,3350.5697,-8679.9345
Auburn University,77.5462963,8.58676208,20.28701892,25.20373683,17.26471191,82.73528809,0.65614107,16.60857084,1.5363128492,2.5837988827,6.431956668900001,8.3798882682,10.3671706263,1793.00003051757,9491.99981689453,7590.000152587891,289.00001049041697,1979.9999237060501,164.999997615814,1081.9999694824198,30.795847750900002,44.2675159236,61.7328519856,65.07936507939999,64.2611683849,17.6470588235,17.8343949045,12.9963898917,11.9047619048,16.4948453608,11.365286855499999,43.2332220986,66.8747704737,74.0823634736,72.4741447892,9.2955700799,10.3077493511,8.5934630922,7.2515666965,6.722354813000001,10.9869646182,45.535148828400004,71.30663164810001,77.7777777778,74.2231638418,6.7039106145,9.246358454700001,6.762967826700001,5.8394160584,6.2146892655,15.7122905028,40.9217877095,61.3405551794,68.63527533919999,68.9704823614,13.8966480447,13.1284916201,11.3067027759,9.5770151636,9.2872570194,10085800,3259.9378,-8548.8258
South University-Montgomery,69.63237287,78.48433290999999,51.33443163,65.69544875,47.228833730000005,52.77116627,5.185311120000001,42.043522610000004,3.90625,5.0169491525,4.5916746107,7.2459016392999995,7.9836829837,1464.99996185302,9106.99996948242,6522.00012207031,661.00001335144,2855.99994659423,174.000000953674,784.9999904632571,18.1165423916,21.6164053076,23.7084099649,19.1937644623,11.2759643917,35.1008008837,32.5211097708,33.8739341247,34.4172451589,36.7745497205,10.9988776655,15.5268022181,15.926708949999998,12.933618843700001,12.3542274052,37.037037037,29.944547134900002,26.990838618700003,23.1691648822,24.3075801749,21.875,27.805486284300002,31.7359855335,24.2836676218,16.527079843699997,27.2321428571,24.6882793017,25.045207956600002,23.9971346705,26.800670016799998,15.8072916667,19.0056497175,20.5433746425,16.8196721311,10.858585858600001,36.9270833333,33.3107344633,33.8735303464,33.1366120219,35.7161357161,10111600,3234.2684,-8621.648799999999
Herzing University-Birmingham,72.17582418,85.92471358,51.96779964,69.33148684,52.09032652,47.909673479999995,5.5691181,46.52120842,2.1881123449,2.1430926475,2.4670109007,3.4028203556000003,4.585753592200001,1517.00000762939,9369.00024414062,8183.99963378906,561.00001335144,1163.00001144409,189.999997615814,751.000022888183,26.7457180501,32.9537612146,33.2840673958,34.3679275784,31.9344262295,31.884057971,32.2291235335,29.530002956,24.2159715487,23.4754098361,24.6153846154,38.3944153578,37.043478260899995,39.255499154,31.3271604938,30.1923076923,25.6544502618,26.7826086957,20.8121827411,24.8456790123,30.1619433198,39.9543378995,41.7372881356,45.497630331799996,40.7494145199,27.3279352227,26.0273972603,24.7881355932,17.2985781991,19.6721311475,25.8327890268,32.9706561161,32.759609868,33.8136112814,30.6634056863,32.331809275,31.8826244642,29.718875501999996,24.4941753525,24.2433506573,10136500,3346.8466,-8683.2465
Troy University,61.88569348,44.6303818,38.49765258,48.93582453,38.98457122,61.01542878,2.58342304,36.40114819,1.9830028329,3.9936102235999997,7.3577235772,8.8918827888,11.5167785235,1293.00003051757,9561.00006103515,6202.00004577636,281.999993324279,3400.0,107.000005245208,736.999988555908,16.49883811,21.4492753623,21.1440984794,23.6842105263,23.867285051699998,29.9767621998,34.7826086957,36.8573497466,35.6275303644,30.0392436675,5.9917355372,19.1200434546,33.8842975207,30.924678505800003,39.4299287411,25.8780991736,26.724606192299998,26.831955922900004,30.4960195958,19.6555819477,10.9788359788,22.7336122734,36.5489130435,33.75,36.4829396325,21.164021163999998,26.220362622,25.407608695700002,29.062500000000004,22.8346456693,9.9554836099,19.3690095847,25.9349593496,25.496800269499996,28.322147651,29.4617563739,31.309904153399998,32.8861788618,34.2202761873,26.818791946300003,10236800,3180.0672,-8595.7094
University of Alaska Anchorage,57.58176412,49.64329643,31.607230089999998,44.501845020000005,38.919387459999996,61.080612540000004,3.1204854099999997,35.798902049999995,2.1327014217999998,2.4032825322,4.9633389735,4.9739459972,6.4983443709,1593.99995803833,9175.0,7366.00036621093,509.00001525878895,417.999982833862,426.00002288818297,828.999996185302,9.698681732599999,13.986679353000001,18.8695652174,24.328358209,24.9238269348,42.6553672316,48.3349191246,42.6086956522,45.447761194,37.538086532600005,5.550500455,13.1348511384,15.9394479074,21.6894977169,23.2028469751,48.5896269336,49.1243432574,51.825467497800005,50.9132420091,35.231316726,10.1479915433,20.1232032854,21.8,29.2817679558,27.7777777778,40.8033826638,40.0410677618,41.8,43.4622467772,32.539682539699996,6.872037914699999,11.664712778399998,16.1872532431,21.411653244900002,23.178807947,47.0379146919,51.2309495897,48.6745628878,49.3604926575,37.5,10255300,6119.0163,-14982.618999999999
University of Alaska Fairbanks,55.873015869999996,53.060078610000005,25.59808612,41.66198765,39.88326848,60.11673152,2.7885862500000003,37.09468223,1.7015706806000002,2.9247910864,3.3877038896,6.0671722644,7.059961315299999,1497.99995422363,9338.99993896484,6934.999847412109,467.999982833862,467.999982833862,249.000000953674,889.000034332275,11.5384615385,17.599999999999998,23.8615664845,27.6995305164,25.594405594399998,43.4065934066,44.2,39.3442622951,37.0892018779,35.6643356643,6.6518847007,15.695067264599999,22.520661157,25.6983240223,27.1381578947,48.780487804900005,44.6188340807,43.181818181800004,43.3891992551,31.25,11.158798283300001,26.3157894737,32.2033898305,36.758893280600006,33.2179930796,36.4806866953,30.701754386,30.9322033898,28.063241106699998,27.335640138400002,8.7696335079,13.649025069599999,20.577164366399998,24.0520043337,24.3713733075,48.6910994764,48.7465181058,44.165621079,43.2286023835,35.396518375199996,10261400,6485.756,-14782.314600000002
Arizona State University Campus Immersion,58.57890037,43.04304854,30.20823291,42.419833080000004,38.13179205,61.86820795,4.80146904,33.33032301,2.1187469644999997,3.0345285525000003,4.3537507665,5.450298468700001,7.351786415399999,1822.99995422363,8695.99990844726,7876.00021362304,1920.00007629394,349.00000095367403,290.000009536743,953.999996185302,22.1929411765,36.3438045375,43.08033241,54.440275172,60.33366045139999,24.047058823500002,23.8219895288,23.7894736842,20.9662288931,16.467124632,13.1408945948,42.1609813477,54.090631275599996,62.5526234726,62.8704113224,17.79376891,18.5010922534,17.2094647691,14.6524283807,11.101282618299999,16.6718896898,41.846921797,54.490605068099995,62.652972028,68.2611996963,16.8285803823,18.851913477500002,16.359248405400002,15.100524475499999,10.0733991395,17.611704711,38.7450199203,47.1622266131,58.02405052339999,59.5111896349,22.2013113162,21.6002656042,21.591605914,17.968682412,14.1833529643,10415100,3341.7721,-11193.4383
Grand Canyon University,55.21631805,74.71183479,30.24661741,48.901938900000005,47.44080533,52.55919467,5.6117964,41.82900893,2.0149804832,2.4977241692999996,3.2060027285,4.1143936328,5.5070623711,1527.0000457763601,8898.00033569336,7526.00021362304,1572.00002670288,1031.9999694824198,261.999988555908,782.000017166137,19.2988731891,29.2592125189,37.2902861977,41.2344589127,32.9363482739,28.170273654099997,30.041645633500003,28.958127731599998,26.9035532995,27.6575199163,11.8745218057,35.8451072737,42.8054953001,45.6796116505,42.1218961625,21.3465952563,22.6059654631,19.3962400578,18.7378640777,17.4717832957,19.793103448300002,39.900124843899995,47.6614699332,53.5503983374,43.6274509804,20.9425287356,22.3470661673,20.4064587973,18.254243159,20.049019607800002,16.6262263952,28.982703686799997,36.8721319608,40.0714960205,32.8201872719,27.4765270598,29.369594902099998,27.582785563700003,26.318629434800002,27.0988731947,10471700,3351.3230999999996,-11212.992900000001
Pima Community College,80.53622068,43.44758065,53.00059418000001,64.96415771000001,47.760797339999996,52.23920266,7.24252492,40.51827243,1.2578616351999998,2.8993587957,3.775,6.0720640568999995,8.6102495939,1382.9999923706,8583.999633789059,7281.99996948242,3206.0001373291,336.999988555908,200.0,890.9999847412109,15.3846153846,16.944444444400002,20.2178030303,18.752421542,15.108571428600001,47.8062678063,46.6666666667,47.1590909091,47.655947307199995,36.3428571429,8.9162740123,14.3862392494,15.7393292683,18.455254363199998,15.318662475,54.8749546937,49.882720875699995,50.6097560976,45.3769030821,28.4081166047,13.896848137500001,21.0116731518,21.875,24.1645244216,19.2203082502,45.2722063037,41.2451361868,41.3043478261,36.8894601542,27.6518585675,10.9800838574,14.245887928600002,16.975,17.637900355899998,14.5473342195,53.3805031447,50.1254530248,50.5,48.1539145907,33.658248412300004,10552500,3222.2124999999996,-11088.6659
