School Name,SAT Average Overall,% Male Students Completed within 2yrs,% Male Students Completed within 3yrs,% Male Students Completed within 4yrs,% Male Students Completed within 6yrs,% Male Students Completed within 8yrs,% Male Students Withdrawn by 2yrs,% Male Students Withdrawn by 3yrs,% Male Students Withdrawn by 4yrs,% Male Students Withdrawn by 6yrs,% Male Students Withdrawn by 8yrs,% Female Students Completed within 2yrs,% Female Students Completed within 3yrs,% Female Students Completed within 4yrs,% Female Students Completed within 6yrs,% Female Students Completed within 8yrs,% Female Students Withdrawn by 2yrs,% Female Students Withdrawn by 3yrs,% Female Students Withdrawn by 4yrs,% Female Students Withdrawn by 6yrs,% Female Students Withdrawn by 8yrs,School_Id,School Latitude,School Longitude
Alabama A & M University,954.0,4.07,8.13,17.64,24.46,25.57,37.35,35.4,42.42,41.88,35.42,4.71,17.82,25.94,35.75,31.8,29.71,25.18,28.76,23.31,19.67,10065400,3478.34,-8656.85
University of Alabama at Birmingham,1266.0,13.68,28.87,42.53,50.99,50.36,22.39,26.36,24.8,21.26,21.95,15.81,35.19,47.12,55.81,56.91,18.91,19.29,18.64,15.08,12.32,10066300,3350.57,-8679.93
University of Alabama in Huntsville,1300.0,6.24,23.53,34.67,48.11,47.63,21.94,26.34,31.4,23.56,21.44,15.98,35.01,39.39,48.01,51.02,19.8,17.9,23.15,14.54,10.17,10070600,3472.46,-8664.04
Alabama State University,955.0,5.45,8.79,19.45,25.0,22.3,39.81,46.44,38.9,40.26,35.51,3.86,16.52,28.17,36.87,32.3,28.43,31.68,27.49,21.69,19.84,10072400,3236.43,-8629.57
The University of Alabama,1244.0,10.72,36.7,53.26,58.25,55.64,13.47,15.87,15.95,16.34,15.77,11.3,48.02,60.55,64.64,60.68,9.29,10.02,10.93,9.1,9.08,10075100,3321.19,-8754.6
Auburn University at Montgomery,1069.0,7.58,18.24,19.14,27.47,28.47,35.35,29.18,29.43,28.67,23.61,11.52,23.67,31.98,33.09,33.94,25.44,20.87,20.18,20.0,15.88,10083000,3236.74,-8617.75
Birmingham-Southern College,1214.0,0.0,48.48,60.32,58.27,54.46,0.0,13.13,0.0,0.0,0.0,0.0,49.53,71.53,73.86,54.67,0.0,16.82,0.0,0.0,0.0,10093700,3351.38,-8685.06
Faulkner University,1042.0,19.44,28.28,29.05,25.62,23.1,32.92,34.11,30.58,34.57,32.55,22.82,36.65,39.29,37.0,36.17,30.66,28.18,24.39,26.19,21.77,10118900,3238.42,-8621.64
Huntingdon College,1111.0,10.49,32.69,44.91,50.49,35.78,15.43,22.12,19.16,13.24,21.57,19.27,56.67,58.18,65.29,52.3,15.1,10.67,13.94,10.0,14.94,10143500,3235.1,-8628.44
Jacksonville State University,1030.0,11.95,23.11,38.12,39.5,35.93,26.84,27.47,28.4,27.61,27.28,18.01,36.32,51.11,51.73,48.19,17.91,16.6,15.44,16.37,15.76,10148000,3382.29,-8576.53
University of West Alabama,1017.0,3.41,6.77,11.81,20.44,22.42,38.23,41.35,39.11,42.7,29.18,4.67,7.93,16.77,24.44,32.82,31.85,32.01,35.09,21.63,17.29,10158700,3258.81,-8818.63
Marion Military Institute,1146.0,0.0,29.33,36.23,32.32,0.0,38.0,36.0,24.64,23.17,0.0,0.0,26.53,37.5,34.21,0.0,38.0,22.45,32.5,28.95,0.0,10164800,3262.37,-8732.2
University of Montevallo,1131.0,0.0,8.7,29.35,45.03,37.32,30.5,45.96,34.24,30.89,24.88,0.0,16.09,43.78,58.51,50.13,23.61,40.11,23.06,13.91,18.55,10170900,3310.63,-8686.51
Samford University,1236.0,10.46,58.33,64.52,69.17,63.93,0.0,8.93,7.74,8.27,0.0,17.65,69.28,74.66,69.23,67.28,0.0,3.45,3.77,4.31,0.0,10204900,3346.41,-8679.18
University of South Alabama,1132.0,10.94,26.12,38.45,42.16,37.62,25.81,27.19,28.12,26.58,25.42,12.16,33.22,44.65,48.15,46.95,18.64,17.72,17.38,17.9,14.09,10209400,3069.6,-8817.87
Spring Hill College,1019.0,0.0,0.0,0.0,0.0,0.0,21.6,40.34,46.46,33.33,34.71,0.0,0.0,0.0,0.0,0.0,14.96,54.63,49.32,38.57,30.85,10223400,3069.48,-8813.82
Troy University,1082.0,9.9,17.05,25.49,24.52,26.75,30.67,34.53,36.11,39.78,31.95,10.35,21.86,29.96,28.33,31.19,25.79,27.7,28.46,29.67,23.23,10236800,3180.07,-8595.71
Tuskegee University,1080.0,0.0,16.88,34.62,39.38,45.22,20.36,22.36,16.67,17.76,20.0,0.0,32.99,51.89,54.68,51.42,11.74,12.11,13.35,12.32,8.1,10237700,3243.09,-8570.85
University of Alaska Fairbanks,1169.0,9.79,17.49,25.17,27.84,28.31,47.09,46.31,41.49,41.54,39.29,9.05,16.11,21.85,26.09,24.94,45.07,42.96,40.89,38.93,29.77,10261400,6485.76,-14782.31
University of Arizona,1230.0,11.27,34.22,47.05,54.95,55.75,16.9,17.2,16.37,13.89,12.26,12.24,39.8,52.32,59.96,60.23,12.32,13.13,11.89,9.18,7.53,10417900,3223.27,-11095.08
