School Name,SAT Average Overall,City,Carnegie Classification Undergraduate Profile,Carnegie Size Setting,Public Average Net Price,Private Average Net Price,"Avg $75,001-$110,000 (Public)","Avg $75,000+ (Public)","Avg $48,001-$75,000 (Public)","Avg $48,001-$75,000 (All)","Avg $30,001-$75,000 (Public)","Avg $30,001-$75,000 (All)","Avg $30,001-$48,000 (Public)","Avg $30,001-$48,000 (All)","Avg $110,000+ (Public)","Avg $110,000+ (All)","Avg $0-$48,000 (Public)","Avg $0-$48,000 (Private)","Avg $0-$30,000 (Public)","Avg $0-$30,000 (Private)"
Alabama A & M University,954.0,Normal,10,14,13057.0,0.0,16707.0,17399.0,15508.0,0.0,13424.0,0.0,12300.0,0.0,18857.0,0,12210.0,0.0,12177.0,0.0
University of Alabama at Birmingham,1266.0,Birmingham,9,15,16585.0,0.0,18230.0,19441.0,16847.0,0.0,16038.0,0.0,15370.0,0.0,20054.0,0,14431.0,0.0,13862.0,0.0
University of Alabama in Huntsville,1300.0,Huntsville,15,13,17250.0,0.0,19206.0,19333.0,18572.0,0.0,16919.0,0.0,14646.0,0.0,19423.0,0,14651.0,0.0,14654.0,0.0
Alabama State University,955.0,Montgomery,10,14,13593.0,0.0,20568.0,21072.0,13992.0,0.0,14127.0,0.0,14170.0,0.0,21938.0,0,13180.0,0.0,12877.0,0.0
The University of Alabama,1244.0,Tuscaloosa,12,16,21534.0,0.0,23830.0,24553.0,21957.0,0.0,21041.0,0.0,20121.0,0.0,24948.0,0,18883.0,0.0,18338.0,0.0
Auburn University at Montgomery,1069.0,Montgomery,7,13,13689.0,0.0,17249.0,16148.0,15661.0,0.0,14352.0,0.0,13773.0,0.0,15387.0,0,12912.0,0.0,12565.0,0.0
Birmingham-Southern College,1214.0,Birmingham,12,11,0.0,21098.0,0.0,0.0,0.0,17602.0,0.0,17452.0,0.0,17302.0,0.0,0,0.0,17414.0,0.0,17500.0
Faulkner University,1042.0,Montgomery,7,10,0.0,20371.0,0.0,0.0,0.0,19901.0,0.0,19714.0,0.0,19477.0,0.0,0,0.0,19162.0,0.0,19051.0
Huntingdon College,1111.0,Montgomery,10,8,0.0,23330.0,0.0,0.0,0.0,24665.0,0.0,23084.0,0.0,20339.0,0.0,0,0.0,19872.0,0.0,19670.0
Jacksonville State University,1030.0,Jacksonville,11,13,18336.0,0.0,21862.0,21942.0,20335.0,0.0,18664.0,0.0,17293.0,0.0,22023.0,0,16366.0,0.0,16017.0,0.0
