School Name,SAT Average Overall,"% IndepStudents, LowIncome $0-$30,000",% Independent Students,"% DepStudents, LowIncome $0-$30,000","% aided students family income $0-$30,000",% First Generation Students,"% First Gen, Parents w/College","% First Gen, Parents w/MiddleSchool","% First Gen, Parents w/HighSchool","% FirstGenStudents, Completed 2 Years","% FirstGenStudents, Completed 3 Years","% FirstGenStudents, Completed 4 Years","% FirstGenStudents, Completed 6 Years","% FirstGenStudents, Completed 8 Years",% Students W/Bachelors Degree at 25 Years Old,% Students Born Within the U.S.,% Population of White Students by ZIP Code,% Population of Hispanic Students by ZIP Code,% Population of Black Students by ZIP Code,% Population of Asian Students by ZIP Code,% Students W/Professional Deg at 25YrsbyZIP,% IndepStudents Completed 2 Years,% IndepStudents Completed 3 Years,% IndepStudents Completed 4 Years,% IndepStudents Completed 6 Years,% IndepStudents Completed 8 Years,% IndepStudents Withdrawn 2 Years,% IndepStudents Withdrawn 3 Years,% IndepStudents Withdrawn 4 Years,% IndepStudents Withdrawn 6 Years,% IndepStudents Withdrawn 8 Years,% DepStudents Completed 2 Years,% DepStudents Completed 3 Years,% DepStudents Completed 4 Years,% DepStudents Completed 6 Years,% DepStudents Completed 8 Years,% DepStudents Withdrawn 2 Years,% DepStudents Withdrawn 3 Years,% DepStudents Withdrawn 4 Years,% DepStudents Withdrawn 6 Years,% DepStudents Withdrawn 8 Years,% NonFirstGenStudents Completed 2 Years,% NonFirstGenStudents Completed 3 Years,% NonFirstGenStudents Completed 4 Years,% NonFirstGenStudents Completed 6 Years,% NonFirstGenStudents Completed 8 Years,% NonFirstGenStudents Withdrawn 2 Years,% NonFirstGenStudents Withdrawn 3 Years,% NonFirstGenStudents Withdrawn 4 Years,% NonFirstGenStudents Withdrawn 6 Years,% NonFirstGenStudents Withdrawn 8 Years,% FirstGenStudents Completed 2 Years,% FirstGenStudents Completed 3 Years,% FirstGenStudents Completed 4 Years,% FirstGenStudents Completed 6 Years,% FirstGenStudents Completed 8 Years,% FirstGenStudents Withdrawn 2 Years,% FirstGenStudents Withdrawn 3 Years,% FirstGenStudents Withdrawn 4 Years,% FirstGenStudents Withdrawn 6 Years,% FirstGenStudents Withdrawn 8 Years,id,Latitude,Longitutde
Alabama A & M University,954.0,90.16,9.89,56.91,60.2,36.58,63.42,1.64,34.94,0.0,0.0,2.7,4.98,8.75,1300.0,9474.0,4684.0,379.0,4798.0,148.0,686.0,12.82,21.76,22.37,35.1,24.61,35.9,27.06,38.16,30.46,28.8,3.52,12.75,22.22,29.6,29.63,32.61,29.85,34.49,32.56,27.13,5.23,15.87,28.42,34.3,29.56,20.92,22.16,33.81,28.02,28.57,4.25,13.12,20.87,29.46,28.54,35.83,31.39,35.08,33.17,27.16,10065400,3478.34,-8656.85
University of Alabama at Birmingham,1266.0,59.42,32.14,34.87,42.76,34.12,65.88,2.23,31.9,3.25,4.3,6.74,8.61,9.74,1593.0,9650.0,6902.0,203.0,2776.0,110.0,855.0,22.14,28.9,39.53,47.54,53.89,22.35,25.32,22.52,21.25,18.6,12.06,34.74,48.31,56.72,54.58,19.22,20.27,20.16,15.78,14.91,14.79,39.06,51.46,60.56,60.69,16.91,16.85,18.9,14.23,14.45,15.16,30.3,42.75,51.47,51.95,21.49,23.98,21.83,18.63,16.68,10066300,3350.57,-8679.93
University of Alabama in Huntsville,1300.0,68.89,25.16,26.9,37.46,31.01,68.99,1.98,29.03,0.0,3.05,7.16,11.05,14.16,1767.0,9527.0,7638.0,255.0,1898.0,142.0,891.0,22.31,37.32,39.66,47.19,47.5,24.41,19.94,25.0,20.29,18.25,6.9,25.84,35.94,48.57,50.33,19.83,23.41,28.33,19.0,14.36,9.41,28.6,40.57,53.87,54.85,16.03,20.4,26.54,19.77,15.24,11.48,28.73,34.96,45.39,46.87,23.89,23.72,27.92,19.34,15.91,10070600,3472.46,-8664.04
Alabama State University,955.0,92.19,10.74,57.76,61.46,34.34,65.66,1.88,32.46,0.0,0.0,3.37,6.65,6.5,1181.0,9453.0,4269.0,409.0,5232.0,141.0,676.0,12.12,17.19,21.77,27.92,22.78,30.3,43.75,38.1,36.67,32.74,3.71,13.25,25.0,32.92,28.91,32.94,36.45,31.34,27.73,25.58,6.2,20.8,28.63,41.14,32.79,26.86,30.4,27.8,20.42,23.48,3.98,11.91,23.66,30.16,26.89,34.32,38.82,33.17,30.93,27.49,10072400,3236.43,-8629.57
The University of Alabama,1244.0,60.78,14.3,20.38,26.15,22.57,77.43,0.82,21.76,0.0,3.64,7.59,9.69,12.28,1648.0,9608.0,7535.0,241.0,2106.0,120.0,921.0,30.04,42.62,52.54,50.47,40.86,19.16,20.41,19.39,21.21,23.25,8.09,43.61,58.51,64.13,62.08,9.69,11.03,11.86,10.42,9.66,9.08,46.93,64.44,68.52,67.35,8.44,9.83,9.95,8.95,6.95,12.81,40.78,52.36,57.32,53.28,13.18,14.35,15.25,14.38,14.89,10075100,3321.19,-8754.6
Auburn University at Montgomery,1069.0,69.61,22.72,42.84,48.92,38.19,61.81,2.3,35.89,0.0,0.0,7.47,9.26,16.46,1472.0,9685.0,5997.0,162.0,3721.0,91.0,909.0,20.85,35.65,36.3,29.59,31.69,24.43,22.61,27.78,26.63,21.35,6.48,18.08,25.27,31.79,32.27,30.26,23.74,21.59,21.53,17.0,14.01,27.27,29.26,30.18,34.83,23.74,20.16,17.03,16.36,14.98,9.15,20.25,27.6,31.47,31.31,30.14,24.56,24.66,24.84,19.49,10083000,3236.74,-8617.75
Birmingham-Southern College,1214.0,0.0,3.17,0.0,23.53,17.25,82.75,0.0,0.0,0.0,0.0,8.59,13.22,19.39,2091.0,9569.0,7890.0,246.0,1741.0,139.0,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.73,71.13,72.64,49.44,9.35,11.82,0.0,0.0,0.0,0.0,44.79,60.94,57.02,59.18,17.92,18.75,0.0,0.0,0.0,10093700,3351.38,-8685.06
Faulkner University,1042.0,67.96,61.16,40.82,57.42,43.0,57.0,3.13,39.87,0.0,0.0,4.22,7.67,10.01,1455.0,9659.0,6488.0,181.0,3189.0,105.0,785.0,30.08,41.56,42.32,34.66,36.71,33.65,30.93,27.36,34.03,25.17,9.14,21.45,25.56,30.11,23.57,28.25,29.81,25.84,23.39,26.9,19.66,33.14,39.22,40.0,32.52,27.53,21.89,19.61,24.38,23.93,22.1,33.47,34.6,30.97,30.88,32.45,32.5,28.27,30.54,26.3,10118900,3238.42,-8621.64
Huntingdon College,1111.0,60.0,22.19,34.6,40.24,34.56,65.44,2.56,32.0,0.0,0.0,0.0,5.82,12.5,1373.0,9666.0,7320.0,191.0,2367.0,93.0,764.0,39.68,57.75,69.12,71.88,60.82,0.0,15.49,0.0,12.5,17.53,9.97,39.02,46.97,52.16,37.37,0.0,17.77,0.0,11.51,18.86,11.76,41.67,67.03,59.6,43.88,9.8,14.29,0.0,0.0,12.24,16.67,43.07,45.64,56.36,43.21,17.46,18.25,0.0,0.0,20.71,10143500,3235.1,-8628.44
Jacksonville State University,1030.0,60.47,24.56,36.33,42.26,36.38,63.62,2.98,33.39,0.0,0.0,4.02,6.51,7.18,994.0,9669.0,7696.0,266.0,1970.0,67.0,587.0,33.51,46.21,53.49,51.87,43.97,24.52,20.63,21.51,22.2,25.0,10.56,26.4,42.88,44.78,42.97,20.32,21.17,20.87,20.65,18.57,11.23,32.83,48.19,49.27,43.46,19.32,16.92,16.99,18.66,20.94,17.12,30.33,44.67,45.93,43.21,21.86,22.32,22.29,21.69,20.28,10148000,3382.29,-8576.53
